菜品标题,特点,原料,制作流程,已发布,发布时间
（浙江杭州名人名家海鲜工坊创意风味菜品）虾汤蒸雪蟹（附特制虾汤做法）,"特点：
甜虾加洋葱胡萝卜西芹熬汤，再加入少量香椒油调味，熬好的虾汤口味鲜香。微带辣味，用此汤蒸制雪蟹，颜色红亮，鲜嫩滑口，卖相更是恢弘大气，极得食客欢迎。
介绍：
名人名家可谓是杭州城的餐饮巨头，自1999年第一家店开业以来，迄今已有15个年头，发展至今，旗下已经成功拥有名人名家酒店名家海鲜工坊名家厨房名家口味堂四大品牌，其有分店13家。
名家海鲜工坊于2007年正式开业，菜品以海鲜为主，辅以少量杭帮菜粤菜，人均消费在180元左右。
菜品制作：
徐大伟，现任浙江杭州名家海鲜工坊厨师长。","原料：
雪蟹1只（重约1000克），特制虾汤700克。
调料：
鸡蛋3个，葱花10克，盐4克，味精3克。
特制虾汤做法：
1甜虾500克剪去虾头，洗净后直接剁碎；胡萝卜200克洋葱100克洗净切成小块；西芹200克切段。
2锅入底油烧至四成热，下胡萝卜块洋葱块西芹段小火炒香，然后下甜虾碎翻炒均匀，冲入清水2000克，大火烧开后改小火熬煮1小时，待汤汁浓稠后，倒入蔡合盛香椒油200克搅匀关火，晾凉后打去渣滓即可。
杨建华探讨：
我们酒店在制作虾汤时，没有放洋葱西芹等蔬菜，只用活虾制作，操作非常简单，制成的虾汤鲜美醉厚，其流程为：
1鲜活明虾洗净永水，控干水分后入五成热油中快速拉油，捞出控净油分，用擀面杖捣碎，然后下入不粘锅中略煎。
2煎虾的同时，另起锅入清水烧开，将煎好的虾碎冲入沸水锅中，随后捞出灯碎，汤倒出备用。
3将虾碎控干水分后再次下入不粘锅中煎香，重新烧一锅开水，将虾碎冲入其中，搅匀稍煮后打去渣滓，将前后两次制成的汤混合在一起即为虾汤，一般2斤虾可出6斤汤。","制作方法：
（1）雪蟹宰杀治净，拆下蟹壳，将蟹肉剁成小块，入蒸箱蒸3分钟，取出放入大圆盘中摆出形状待用。
（2）虾汤入盆，放于冰块上镇凉，然后向汤中打入鸡蛋，加盐味精一同搅拌均匀，调好后倒入装有雪蟹的盘中，表面覆保鲜膜，再入蒸箱蒸8分钟至熟，取出揭去保鲜膜，表面撒葱花即可。
制作关键：
制作时要先将虾汤用冰块镇凉，然后再打入鸡蛋。如果虾汤带有一定热度，下入鸡蛋液后汤汁就会变白，影响成品的色泽与卖相。",未发布,
沙嗲毛肚（浙江杭州名人名家酒店创意融合菜品）,"特点：
此菜拥有一副地道的川菜卖相，但口味却极具东南亚特色，用自制沙嗲酱来烧制毛肚，操作简单，口味浓郁，上桌后绝对可以给食客别样的惊喜。
介绍：
名人名家可谓是杭州城的餐饮巨头，自1999年第一家店开业以来，迄今已有15个年头，发展至今，旗下已经成功拥有名人名家酒店名家海鲜工坊名家厨房名家口味堂四大品牌，其有分店13家。
菜品制作：
沈学刚，现任浙江杭州名人名家餐饮公司出品总监。","原料：
草原毛肚250克。
辅料：
丝瓜75克，泡发的木耳50克。
调料：
自制沙嗲酱40克，葱姜末各3克。
自制沙嗲酱做法：
锅入色拉油500克烧至四成热，下蒜末600克洋葱碎200克红椒碎150克煸炒出香，下入沙嗲酱700克花生酱芝麻酱各350克豆腐乳250克香芋泥（香芋去皮蒸熟，碾碎成泥即可，其质地绵软，可增加沙嗲酱的稠度）200克虾酱150克翻炒出香，调入老抽250克辣椒粉100克盐味精各10克，最后撒入熟花生碎600克一同搅匀即成。","制作方法：
（1）草原毛肚自然解冻，洗净飞水后下入红卤水中，入高压锅上汽高压30分钟（草原毛肚质地较硬，所以高压时间要长一点），捞出晾凉，切丝待用。
（2）丝瓜洗净后切滚刀块，木耳改刀成小块，二者一同飞水，捞出控干。
（3）锅入底油烧至四成热，下葱姜末爆香，下入辅料炒香，然后下自制沙嗲酱小火翻炒至香味散出，冲入高汤500克，大火烧开，下入压好的毛肚，改小火煨23分钟至入味，起锅倒入盘中，表面点缀拉过油的青红椒圈各10克香菜段2克，再撒熟白芝麻3克即成。",已发布,2025-10-20 10:02:44
（山东济宁大味之源特色菜品）干锅鱼杂（附自制干锅酱配方制法）,"创意：
很多厨师觉得处理鱼杂麻烦而很少操作它，其实鱼杂做好了是一款很不错的口味家常菜，而且利润颇高，我用自制干锅酱来烹调鱼杂，口味香辣适中回味无穷。
菜品制作：
孙明兴，现任山东济宁大味之源管理公司和玉泉餐饮公司两家公司的出品总监，并担任多家酒店技术顾问。","自制干锅酱配方制法：
将家乐干锅酱500克，李锦记蒜蓉辣酱蚝油各100克，番茄酱花生碎蒸鱼豉油东古酱油各50克，白糖30克，沙姜粉香料粉各15克（八角花椒香叶麻椒各50克打成的粉），混合均匀即可。
适用范围：
多种干锅菜品，咸鲜香辣，如干锅鱼杂。","制作方法：
（1）把安康鱼子250克安康鱼肚150克安康鱼白100克用白醋水（水和白醋15:1）先清洗一下，加葱段姜片香菜各30克，盐2克，料酒15克，胡椒粉5克拌匀腌制2小时。
（2）腌好的鱼杂去掉葱段姜片香菜，入开水中烫一下，入凉水冲洗干净杂质。
（3）锅烧热入花生油20克烧热，下自制干锅酱35克美人椒圈20克爆香，注入高汤150克，下鱼杂和鸡粉3克，用锅铲轻轻翻炒约3分钟至吸收完汤汁，盛入垫有圆葱丝80克的干锅中，撒上青蒜丁20克即可。",未发布,
（山东济宁大味之源特色菜品）渔家乐（附特色焖鱼汁配方制法）,"创意：
这是一道胶东鱼锅片片的改良版，我用野荠菜来制作成粗粮片片，鱼锅中加入豆腐，口味更丰富，用特色焖鱼汁增加口味，出品色泽红亮，口感鲜香滑嫩。
菜品制作：
孙明兴，现任山东济宁大味之源管理公司和玉泉餐饮公司两家公司的出品总监，并担任多家酒店技术顾问。","特色焖鱼汁配方制法：
1制作锅入熟猪油豆油各50克烧热，下八角5颗，葱段姜片蒜子面酱蚝油各30克，韩国辣酱番茄酱各20克炒香。
2倒入啤酒1瓶，高汤1千克，十三香胡椒粉各5克，蒸鱼豉油50克，味达美酱油30克，老抽8克，盐3克，白酒15克熬制20分钟，过滤即可。
适用范围：
焖制鱼类菜品，酱汁中加入了啤酒白酒，有很好的祛腥作用。","制作方法：
（1）片片制作：荠菜30克焯水，切成丁，加玉米面100克，小米面50克，豆面30克，泡打粉小苏打各2克，水8090克拌匀和成团，饧发15分钟，下约25克个的剂子，团成椭圆形，入预热的电饼铛中（上温100，下温130）煎制，5分钟至熟。
（2）取黄花鱼1条（约400克）小海鲳鱼2条（约200克）海鲢鱼2条（约300克）针鱼2条宰杀制净，打一字花刀；豆腐150克切块。
（3）将鱼依次摆放在铁锅内，上面放豆腐块，倒入烧热的焖鱼汁500克，盖上盖子，小火焖制20分钟，大火收汁，撒上香葱末5克，搭配片片一起上桌即可。",未发布,
（山东济宁大味之源特色菜品）秘制扇子骨（附自制酱汤与秘制飘香酱配方制法）,"创意：
这是我新研发的特色菜品，在店里卖得很好。扇子骨采用少煮多泡的技法使其入味，加上独特的酱料烹制出来，得到了众多食客的认可，口味丰富香浓口感弹韧回味无穷。
菜品制作：
孙明兴，现任山东济宁大味之源管理公司和玉泉餐饮公司两家公司的出品总监，并担
任多家酒店技术顾问。","自制酱汤制作：
1锅内入葱油500克烧热，下八角葱段姜片各30克，花椒干辣椒各20克，桂皮15克煸炒出香味。
2入蚝油20克韩国辣酱15克海天黄豆酱30克炒匀，加水10千克，下料酒100克玉堂散酱油40克盐20克白糖50克烧开，转小火熬制40分钟即成。
秘制飘香酱配方制法：
制作锅入色拉油1千克芝麻油30克烧热，下入剁好的蒜米圆葱粒各400克，贺福记青剁椒300克小火炒香，加入东古酱油50克炒匀即成。
适用范围：
烹制肉类菜品，咸鲜微辣，如秘制扇子骨。","制作方法：
（1）选用新鲜肉质饱满的猪扇子骨，用据骨机顺长锯成2厘米宽的块，入锅中焯水去血沫，捞出冲洗干净。
（2）扇子骨入酱汤中中火煮15分钟，熄火浸泡1小时捞出。
（3）取扇子骨600克入烧至五成热的色拉油中，离火炸透，捞出控油。
（4）秘制香飘酱35克入锅中炒出香味，迅速倒入炸好的扇子骨翻炒均匀，离火。
（5）圆葱丝100克放入带有酒精灯加热的铁锅中垫底，倒入炒好的扇子骨，撒上青蒜丁30克即可。",未发布,
压锅豆腐（附自制压锅酱配方制法）,"特点：
这是我们店里卖得很好的一道菜，选用东北豆腐加入压锅酱制作而成。压制过程中没有加入很多的水，而是加入了比较多的油，这样可以防止豆腐糊锅，而且十分入味，上菜可以带汤汁，也可以把油滤出来再上菜。
介绍：
豆类作为中国特有的食材，被厨师朋友广泛应用，具有成本低廉应用广泛（可荤可素，可入高雅大堂，可做街边小吃）烹调多样（可煎炸烹烤凉拌，可甜咸臭，可雕刻成花，可以中间挖空酿馅，可以切成发丝）四季皆宜容易入味（豆腐会吸附与之搭配的食材的味道，与鱼搭配会有鱼鲜味，与菌类搭配会有菌味）营养丰富六大优点。","原料：
东北豆腐1千克，红烧肉中的五花肉50克。
调料：
色拉油300克，糖桂花20克，味精美极鲜味汁白糖老抽各3克，葱段姜片葱花香菜小米椒圈各5克，自制压锅酱30克。
自制压锅酱配方制法：
锅入色拉油30克烧热，下芹菜末圆葱末蒜末各30克，干海米碎20克炒香，下排骨酱蚝油海鲜酱一品鲜酱油各30克，香辣酱50克炒香，加水500克，加白糖20克味精15克老抽王25克调味，放士的花生酱150克，熬制15分钟，加辣椒油15克，出锅即可。","制作方法：
（1）高压锅内入色拉油烧热，下葱段姜片五花肉爆香，下八角压锅酱炒香。
（2）下用手勺铲的豆腐，加水80克，加味精美极鲜味汁白糖老抽糖桂花调味，盖盖上气压制5分钟，倒入盘内，撒葱花香菜，咪椒圈即可。",未发布,
青蒜酱肉爆冬笋（附自制酱五花肉制法）,"利由：
此菜的利点就在于我们自制的酱五花肉，我们自制的五花肉比较晶莹剔透，比市场上买来的腌制五花肉清淡很多，我将它蒸熟后切片，加上青蒜苗冬笋炒制在锅中煸炒，使得成菜口感肥而不腻，清香爽口，是本店的一道旺销菜品。","原料：
自制酱五花肉，青蒜苗200克，冬笋100克。
调料：
李锦记生抽50克，白糖80克，色拉油100克，太太乐鸡精15克。
自制酱五花肉制法：
将红曲米500克用纱布包紧，与湖羊酱油12干克，海天生抽古越龙山花雕酒各1500克，白糖2.5千克，鸡精250克，十三香100克，干辣椒500克，八角香叶白蔻桂皮各50克一起倒入桶中，开小火熬匀，烧开后，将五花肉放入其中浸泡68小时，风干即可（此配方一次性能腌制40干克五花肉，可以连续使用4次）。","制作方法：
（1）将自制酱五花肉150克蒸熟，切成0.5厘米厚的片；青蒜苗200克切成长5厘米小段；冬笋100克煮熟切片。
（2）热锅倒入色拉油50克，待油温烧至六成热时，下入青蒜苗200克煸香，放入自制酱五花肉冬笋，改大火爆炒，下入李锦记生抽50克白糖80克色拉油100克太太乐鸡精15克调味，大火翻炒均匀即可。",未发布,
生�ㄏ誓⒐剑ǜ狡�香鱼头酱配方制法）,"利由：
我用鸡汤先把口蘑和香菇小火煨制，让其充分吸收鸡汤，变得个头饱满水润润的，增加卖相，再用鱼头酱h制，成菜大气美观，蘑菇鲜嫩入味。","原料：
鲜口蘑300克，鲜香菇50克。
调料：
飘香鱼头酱20克，老抽15克，葱油20克，，小葱段10克，干葱头生姜大蒜子各30克，彩椒片10克。
飘香鱼头酱配方制法：
蒜米姜米圆葱各100克，陈皮250克，老干妈辣酱12瓶，旧庄蚝油柱侯酱各5瓶，辣鲜露海鲜酱各8瓶，味精白糖各400克，东古酱油2瓶，鸡粉胡椒粉各500克，南乳汁50克，将以上调料小火熬制30分钟，至半流质状即可。","制作方法：
（1）将鲜口蘑300克，鲜香菇50克改刀飞水，入鸡汤锅中小火煨10分钟，让其入味，然后捞出吸干水分。
（2）将鱼头酱20克和鲜蘑菇拌匀，加老抽15克拌至蘑菇上色。
（3）净沙窝加葱油20克，放入小葱段10克，干葱头生姜大蒜子各30克铺匀沙窝底部，将调酱后的蘑菇整齐地摆在上面，再将沙窝上火h10分钟，待出香味后撒彩椒片10克，上桌即可。",未发布,
（重庆泽学一生餐饮九锅一堂创新家常菜）春笋肥肠（附自制香辣酱制法）,"特点：
制作这道菜时有一点需要注意，竹笋片本身有一种异味，如果做这道菜时不祛掉，很容易串味，口感很不好。我们先将竹笋焯水5分钟，再煮10分钟，有效祛除异味。
菜品制作：
唐长江，现任重庆泽学一生餐饮九锅一堂行政总厨。","砧板：
1竹笋300克切5x5x0.3厘米的片，焯水5分钟，捞出冲凉，放到锅内加水小火煮10分钟。
2卤熟的肥肠125克切成长3厘米的滚刀块。
自制香辣酱制法：
锅内入牛油5干克菜子油2桶色拉油2.5干克烧热，下郫县豆瓣酱25干克，大蒜6千克，老姜2.5千克，大葱1.5千克，圆葱冰糖各1千克，花椒250克，酒糟3瓶，十三香15盒，二锅头875克，辣椒3.5千克，炒香炒匀。","炉头：
（1）锅内下红油30克烧热，下入干青花椒2克干辣椒节4克炒香，下肥肠爆炒一下，加入自制香辣酱30克水200克煨制1分钟入味。
（2）取烤热的石锅，放入竹笋片垫底，倒入肥肠，加香菜3克点缀即可。",未发布,
（重庆泽学一生餐饮九锅一堂创新家常菜）石锅酱香鸭（附酱香鸭与自制香辣酱制法）,"特点：
这道菜我们的主料酱香鸭都是在中央厨房批量生产后，在店里进行简单加热即可上桌，走菜非常快，鸭块酱香味浓，很符合大众口味。
菜品制作：
唐长江，现任重庆泽学一生餐饮九锅一堂行政总厨。","砧板：
藕切23厘米见方的块。
酱香鸭（批量）：
1锅内入色拉油8干克烧热，下鸭块50千克炒香炒至金黄色，加干海椒节800克红花椒500克继续炒香。
2加自制香辣酱3千克，排骨酱海鲜酱叉烧酱芝麻酱花生酱各800克，厨邦鸡粉300克，厨邦蚝油600克，纯净水17.5千克，小火烧制入味。
自制香辣酱制法：
锅内入牛油5干克菜子油2桶色拉油2.5干克烧热，下郫县豆瓣酱25干克，大蒜6千克，老姜2.5千克，大葱1.5千克，圆葱冰糖各1千克，花椒250克，酒糟3瓶，十三香15盒，二锅头875克，辣椒3.5千克，炒香炒匀。","炉头：
（1）锅上火下色拉油烧至七成热，下入莲藕炸至变色，捞起控油。
（2）把烧好的鸭子400克带汤汁300克热烫，勾二流芡，起锅，浇上炸好的糊辣油（红油20克烧热下干辣椒段5克炸香），捞出。
（3）把多的汁水倒入炸好的莲藕，把莲藕煨2分钟起锅。
（4）取烤烫的石锅，将烧好的莲藕垫底，再把烧好的鸭块连汤汁一起装入石锅，撒上葱花5克即可。",未发布,
（重庆泽学一生餐饮九锅一堂创新家常菜）泡椒脆肚（附特制双脆酱制法）,"特点：
这道菜是我们店卖得很好的一道菜品，鱼肚加入自制的双脆酱炒制而成，口感脆爽，但是注意在锅里炒制时间不要过长，否则会影响脆感。
菜品制作：
唐长江，现任重庆泽学一生餐饮九锅一堂行政总厨。","砧板：
1芹菜50克切长3厘米的段；泡姜15克切指甲片；泡好的黑木耳50克撕成小块。
2将鱼肚200克洗净，加盐3克，姜片葱段各8克，料酒15克，沙姜粉1克腌制10分钟。
特制双脆酱制法：
将藤椒油1.5千克三五底料10千克火锅底汤6千克十三香400克厨邦鸡粉2千克拌匀即可。","炉头：
（1）鱼肚焯水2秒钟；芹菜木耳分分别焯水。
（2）锅内入红油10克烧热，下红圆泡椒25克煸炒出香。
（3）锅内入红油20克烧热，下泡椒末20克泡姜片炒出香味，下入特制双脆酱30克炒热，加水50克，下鱼肚，加盐3克调味，加入青美人椒圈20克，淋湿淀粉5克勾薄芡，起锅。
（4）取烤热的石锅，放入木耳和芹菜垫底，倒入做好的猪肚，放红圆泡椒，上桌食用即可。",未发布,
（重庆泽学一生餐饮九锅一堂创新家常菜）石锅土豆片（附特制土豆酱制法）,"特点：
这道菜毛利很高，能达到80，415克土豆不过1.83元，再加上调料之类，总计成本不过3.68元，我们销售19元一份，客人还觉得很便宜，吃完一份，再来一份。
菜品制作：
唐长江，现任重庆泽学一生餐饮九锅一堂行政总厨。","砧板：
土豆415克切3x3x0.3厘米的正方片；蒜薹土芹各15克切小粒。
特制土豆酱制法：
将排骨酱15.3千克，瓶装香辣酱48干克，海鲜酱18.4千克，鲜辣汁12千克，鹃城一级郫县豆瓣酱红油各7.5千克，黄酒3干克，色拉油40干克，老干妈辣椒酱28干克，烧肉酱鲜露各10.2千克，辣椒面15千克，十三香2干克，厨邦鸡粉7干克，芝麻油4干克，花椒面2.4千克，胡椒粉1.2千克，白酒1干克拌匀炒香。","炉头：
（1）土豆片入热水煮至七成熟，捞出用温水浸泡。
（2）锅内入色拉油烧至七成热，下入土豆片炸至软而不烂，捞出控油。
（3）锅内入红油10克烧至一成热，下蒜薹粒土芹粒红小米辣粒10克翻炒出香，下特制土豆酱60克孜然3克，加水5克，倒入土豆片翻炒起锅。
（4）取烤热的石锅，放入圆葱丝30克垫底，倒入土豆片即可上桌。",未发布,
（眉州东坡厨政管理中心创意风味凉菜）沙窝飘香肚（附自制鲜辣汁配方制法）,"原创思路：
这道菜采用应季脆甜的沙窝萝卜，切丝后与黑牛百叶合作，配上自制鲜辣汁，既可蘸食，亦可浇汁，入口脆爽微辣，滋味妙不可言。","原料：
黑牛百叶100克，沙窝萝卜丝150克。
调料：
葱姜各10克，自制鲜辣汁100克。
自制鲜辣汁配方制法：
1将矿泉水600克，冰糖25克入锅熬化，加鱼露20克，盐10克，豉油250克，生抽70克，味精15克，鸡粉蒜米炸蒜各20克制成汁水。
2把小葱白30克切成葱花，小圆葱10克切丁，红小米辣3个切细圈，放入烧至八成热的油10克中炸下，连油浇入步骤1中的汁水中即可。","制作方法：
（1）将天津沙窝萝卜清洗干净，切成细丝，用凉水泡脆。
（2）黑牛百叶化冻后，清洗干净，下入放有葱姜的水中煮熟，然后再把牛百叶卷起来，用保鲜膜裹紧，放入冰箱冻好。
（3）将沙窝萝卜丝垫盘底，牛百叶切成薄片摆放在萝卜丝上面，把调好的自制鲜辣汁拌匀，上桌跟碟即可。",未发布,
黑椒烧猪脸肉（附自制叉烧盐制法）,"原创思路：
广式叉烧是一款传统广式烧腊菜，但因流行日久已没什么新意，于是我结合黑椒牛肉的做法，加入一些西式烹调元素，利用猪脸肉肉质爽滑的优点，研发了这道菜。","原料：
鲜猪脸5千克，鸡蛋5个。
调料：
A料（自制叉烧盐600克，黑胡椒碎25克，威士忌鸡蛋各50克，圆葱丝红萝卜丝各250克，红葡萄酒干葱头蒜蓉花生酱各150克，香菜末蚝油生抽各100克），色拉油50克。
自制叉烧盐制法：
将白糖5干克，盐2千克，味精1500克，鸡精五香粉各15克，沙姜粉100克，甘草粉50克拌匀即可。","制作方法：
（1）新鲜猪脸肉冲水半个小时至冲净血水，加A料腌制6个小时，用叉烧针穿好，挂入烧鸭炉内烤30分钟至熟。
（2）烤好的叉烧肉片成5x3x1厘米的大片，走菜时用热油微炸即可。",未发布,
紫椰泡菜（附泡菜水与自制酸辣酱制法）,"原创思路：
紫椰泡菜先泡后拌，泡出来的颜色有点淡，再加上自己调制的印度甜辣酱及泰国鸡酱拌一下，色彩立马艳起来，而且口感也很爽脆，效果非常棒。","原料：
紫椰菜200克。
调料：
淡盐水500克，泡菜水1千克，自制酸辣酱50克。
泡菜水制法：
凉开水2500克加白糖750克话梅5粒白醋500克食盐50克柠檬半只混合即可。
自制酸辣酱制法：
印度甜辣酱500克泰国鸡酱250克炒香的白芝麻50克混合即可。","制作方法：
（1）紫椰菜去掉表皮不好的部分，切成小块，用淡盐水泡10分钟，再用清水漂洗干净，放入泡菜水里泡24个小时后捞出沥水。
（2）将控干水的紫椰菜加入自制酸辣酱45克拌匀，放入模具中压成四方体，再淋酸辣酱5克即可。
关键：
1注意紫椰菜发黄的菜叶一定要去掉，以免影响成菜色泽和口味。
2紫椰菜入泡菜水中浸泡一定要刚刚淹没表层。
3紫椰菜在压时会挤压掉一些酸辣酱，所以上菜时还要再淋少许酱补补味。",未发布,
冰梅老醋花生（附老醋花生汁配方制法）,"原创思路：
传统的老醋花生汁太稀，很难裹在花生上，所以汁水上面的花生往往不够入味，我将做法加以改良，不用味精调味，加入冰花梅子酱，起到酸甜粘稠的效果，清凉脆爽。","原料：
花生米500克。
调料：
老醋花生汁200克，香菜末5克，蒜蓉6克，色拉油1干克（约耗60克）。
老醋花生汁配方制法：
将白糖1千克，冰花梅子酱家乐鲜露各500克，美极酱油250克，香醋150克，安记调味汁50克混合即可。","制作方法：
（1）锅上火入色拉油烧热，放入花生米炸香。
（2）待冷却后，加入老醋花生汁，撒香菜末蒜蓉拌匀即可。",未发布,
秘汁�t鱼肚（附秘制酱汁配方制法）,"原创思路：
t鱼肚口感爽脆，是做凉菜很好的原材料，以前常做泡椒t鱼肚凉拌t鱼肚。后来为迎合不同客人的口味，我根据捞汁海参的做法加以改良，做成秘汁t鱼肚，口感香辣微甜，得到客人的好评。","原料：
t鱼肚300克。
调料：
A料（葱末姜末各4克，料酒8克），B料（青瓜片黑木耳各5克，香菜梗2克），京葱丝3克，彩椒丝1克，秘制酱汁50克。
秘制酱汁配方制法：
味事达酱油蒜蓉各500克，海天生抽1500克，香醋750克，苹果醋250克，辣鲜露150克，味精鸡精各50克，芥辣15克，白糖1千克，香菜粒100克，花生油芝麻油红油炒香白芝麻各50克，以上调料混合即可。","制作方法：
（1）t鱼肚洗净，放入清水中浸泡2小时，将血水泡出，再冲水30分钟，入加有A料的清水锅中焯水，烫熟后即捞出，放入凉水中。
（2）走菜时将B料垫底，再加入t鱼肚，淋入秘制酱汁，撒入彩椒丝京葱丝点缀即可。",未发布,
